=== Top 30 ops by self CUDA time ===

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                              Optimizer.step#AdamW.step         0.33%      37.229ms         0.65%      72.908ms       7.291ms       0.000us         0.00%      17.697ms       1.770ms            10  
                                            aten::empty         0.31%      34.099ms         0.31%      34.099ms       6.520us       0.000us         0.00%       0.000us       0.000us          5230  
                                                 encode         0.30%      33.437ms         0.96%     107.081ms      10.708ms       0.000us         0.00%        1.203s     120.294ms            10  
                                       aten::as_strided         0.27%      30.054ms         0.27%      30.059ms       2.776us       0.000us         0.00%       0.000us       0.000us         10830  
    autograd::engine::evaluate_function: AddmmBackward0         0.23%      25.694ms         4.97%     553.187ms     547.710us       0.000us         0.00%        1.205s       1.193ms          1010  
                                             aten::view         0.21%      23.581ms         0.21%      23.581ms       3.140us       0.000us         0.00%       0.000us       0.000us          7510  
                                         cuLaunchKernel         0.21%      23.048ms         0.21%      23.048ms      62.291us       0.000us         0.00%       0.000us       0.000us           370  
                                            aten::addmm         0.18%      20.498ms         0.24%      26.883ms      26.617us     681.763ms        18.23%     681.763ms     675.013us          1010  
                                                predict         0.17%      18.841ms         0.65%      72.791ms       7.279ms       0.000us         0.00%      15.290ms       1.529ms            10  
                                         AddmmBackward0         0.16%      17.457ms         2.98%     331.483ms     328.201us       0.000us         0.00%        1.033s       1.023ms          1010  
                                                aten::t         0.16%      17.303ms         0.55%      61.469ms      11.383us       0.000us         0.00%       0.000us       0.000us          5400  
                                    cudaLaunchKernelExC         0.15%      16.869ms         0.15%      16.869ms      39.231us       0.000us         0.00%       0.000us       0.000us           430  
     autograd::engine::evaluate_function: ViewBackward0         0.15%      16.651ms         0.65%      72.426ms      27.964us       0.000us         0.00%      85.905ms      33.168us          2590  
                                          aten::reshape         0.14%      16.107ms         0.28%      30.632ms       8.983us       0.000us         0.00%      36.960us       0.011us          3410  
                                          ProfilerStep*         0.14%      15.794ms        89.62%        9.976s     997.568ms       0.000us         0.00%        1.361s     136.094ms            10  
                       aten::native_layer_norm_backward         0.14%      15.343ms         1.73%     192.291ms     384.582us     202.214ms         5.41%     207.617ms     415.235us           500  
autograd::engine::evaluate_function: torch::autograd...         0.13%      14.062ms         0.34%      38.093ms      12.826us       0.000us         0.00%       0.000us       0.000us          2970  
                                    aten::empty_strided         0.10%      11.548ms         0.10%      11.548ms       3.367us       0.000us         0.00%       0.000us       0.000us          3430  
                                              aten::mul         0.10%      10.707ms         0.23%      26.081ms      24.839us      48.929ms         1.31%      48.929ms      46.599us          1050  
                    aten::_efficient_attention_backward         0.09%      10.392ms         0.89%      99.484ms     552.689us     472.127ms        12.62%     548.934ms       3.050ms           180  
                                                 detach         0.09%      10.347ms         0.09%      10.347ms       3.484us       0.000us         0.00%       0.000us       0.000us          2970  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 11.131s
Self CUDA time total: 3.740s
